2026-08-08 09:10:39 | INFO     | === Início da execução ===
2026-08-08 09:10:39 | INFO     | Iniciando leitura de 'alunos.csv'
2026-08-08 09:10:39 | DEBUG    | Validando linha 2: {'nome': 'Ana Lima', 'curso': 'Ciência de Dados', 'nota1': '8.5', 'nota2': '9.0', 'nota3': '7.5'}
2026-08-08 09:10:39 | DEBUG    | Linha 2 OK: Ana Lima — média 8.33
2026-08-08 09:10:39 | DEBUG    | Validando linha 3: {'nome': 'Bruno Costa', 'curso': 'Engenharia de Software', 'nota1': '6.0', 'nota2': '5.5', 'nota3': '7.0'}
2026-08-08 09:10:39 | DEBUG    | Linha 3 OK: Bruno Costa — média 6.17
2026-08-08 09:10:39 | DEBUG    | Validando linha 4: {'nome': 'Carla Souza', 'curso': 'Ciência de Dados', 'nota1': '9.5', 'nota2': '10.0', 'nota3': '9.8'}
2026-08-08 09:10:39 | DEBUG    | Linha 4 OK: Carla Souza — média 9.77
2026-08-08 09:10:39 | DEBUG    | Validando linha 5: {'nome': 'Diego Faria', 'curso': 'Sistemas de Informação', 'nota1': '7.0', 'nota2': 'abc', 'nota3': '8.0'}
2026-08-08 09:10:39 | WARNING  | Linha 5: 'nota2' = 'abc' não é numérico
2026-08-08 09:10:39 | DEBUG    | Validando linha 6: {'nome': 'Elena Ramos', 'curso': 'Engenharia de Software', 'nota1': '3.0', 'nota2': '4.5', 'nota3': '5.0'}
2026-08-08 09:10:39 | DEBUG    | Linha 6 OK: Elena Ramos — média 4.17
2026-08-08 09:10:39 | DEBUG    | Validando linha 7: {'nome': 'Felipe Neto', 'curso': '', 'nota1': '6.0', 'nota2': '6.5', 'nota3': '7.0'}
2026-08-08 09:10:39 | WARNING  | Linha 7: campo 'curso' é obrigatório
2026-08-08 09:10:39 | DEBUG    | Validando linha 8: {'nome': 'Gabi Moura', 'curso': 'Sistemas de Informação', 'nota1': '9.0', 'nota2': '8.5', 'nota3': '12.0'}
2026-08-08 09:10:39 | WARNING  | Linha 8: 'nota3' = 12.0 fora do intervalo [0.0, 10.0]
2026-08-08 09:10:39 | DEBUG    | Validando linha 9: {'nome': 'Hugo Alves', 'curso': 'Engenharia de Software', 'nota1': '7.5', 'nota2': '7.0', 'nota3': '8.0'}
2026-08-08 09:10:39 | DEBUG    | Linha 9 OK: Hugo Alves — média 7.50
2026-08-08 09:10:39 | DEBUG    | Linha 10 ignorada (vazia)
2026-08-08 09:10:39 | DEBUG    | Validando linha 11: {'nome': 'Iris Duarte', 'curso': 'Ciência de Dados', 'nota1': '8.0', 'nota2': '8.5', 'nota3': ''}
2026-08-08 09:10:39 | WARNING  | Linha 11: campo 'nota3' é obrigatório
2026-08-08 09:10:39 | DEBUG    | Arquivo 'alunos.csv' fechado
2026-08-08 09:10:39 | INFO     | Leitura concluída: 5 válidos, 4 erros
2026-08-08 09:10:39 | INFO     | === Fim da execução ===
